Set,Nro,Filename,FoundByAPI,Title,Artist,SpotifyId,Valence,Arousal
1,53,1_053,1,The Stranger,James Horner,42cxGI452dmBWVdjdefkUC,-0.15,-0.7
2,73,2_073,1,Hirschfelder: Scales to America,David Hirschfelder,6Vrffbt1FVwsVm3IoqaO6G,0.4775,0.78
1,198,1_198,1,The New Ambassador,Jerry Goldsmith,3ZNSFAZ1Joi7pqkMomb2Yb,0.15,-0.2
1,354,1_354,1,Grizzly Man,Richard Thompson,,0.125,-0.2925
1,68,1_068,1,The Farm,Thomas Newman,30XPjUloKwMq0KaQhAB2cJ,0.4,-0.45
1,267,1_267,1,Main Titles,James Newton Howard,6LMO5HYYaFrPt6DUh7P2dp,-0.5,-0.1
1,123,1_123,1,The Battle,Gavin Greenaway,3AJIBxlIwidQfRFWbubGzf,-0.65,0.35
1,319,1_319,1,A Wedding Interrupted,Yo-Yo Ma,0cRYQy1Kf7QIg0I3a96HN3,-0.55,0.3
1,90,1_090,1,"Shallow Grave, Deep Depression",Simon Boswell,,0.0425,-0.5
1,199,1_199,0,Missä olen,Leevi Madetoja,,0.125,0.0425
1,286,1_286,1,The Fall,Jerry Goldsmith,5GFB9oASdt8DoF3teVOU1i,-0.4575,-0.6675
1,238,1_238,1,Through the Bamboo Forest,Yo-Yo Ma,5rcuh2Rj16fRgddYW6CuWG,-0.625,-0.0425
1,327,1_327,1,Sorrow,Yo-Yo Ma,2TNpKu6b26NAZSpCEsT2Rf,-0.4575,-0.0425
1,231,1_231,1,The Lair (Pt. II),Batman Returns Soundtrack/Danny Elfman,23CjxOfewI12NUJYA1mpfg,-0.75,-0.55
2,13,2_013,1,The Conspirators,John Williams,,-0.4525,0.525
2,70,2_070,1,Big Racket,Richard Thompson,,-0.74,-0.115
1,167,1_167,1,Dirty Money,Thomas Newman,0O0YjABWgrLbVpdPshLaBc,-0.4575,0.2075
1,272,1_272,1,Marianelli: The Living Sculptures Of Pemberley,English Chamber Orchestra,1tUCjdYuz3uByUGB4rnKgW,0.125,-0.9175
1,304,1_304,1,Uncle Frank,Christopher Young,,-0.7,0.2
2,59,2_059,1,Love Music,"Sinfonia of London, conducted by Muir Mathieson",1TUNj0y6W6oHQZE2xKHFj8,0.4225,0.3325
1,193,1_193,0,Prologue - JFK,John Williams,,0.25,0.0425
1,7,1_007,1,"Cleve and his Mule - Scherzo (From ""How The West Was Won"")",The City of Prague Philharmonic Orchestra,3qcGMnBOMfldUmazYExz8E,0.1,0.3
2,27,2_027,1,Oliver Learns the Hard Way,Rachel Portman,0kYHR83O3FAVjc94L481Cd,0.6875,0.77
1,42,1_042,1,Death Theme,Ennio Morricone,44i4j1IxbokCD98K4Cxa6n,0.2,-0.7
1,200,1_200,1,The Eternal Vow,Yo-Yo Ma,1tcRIidHvFbJ5JeNUidOU0,0.125,-0.5425
1,211,1_211,1,Spectres In The Fog,Hans Zimmer(한스 짐머),3UXgrPK7wtsBaJr1QKjz3G,-1.0,-0.2075
2,15,2_015,1,Zimmer: Dear Clarice,Anthony Hopkins,7aucGaATahSA01lWdltQvM,-0.6725,0.2825
1,101,1_101,1,Loft Conversion,Simon Boswell,,-0.625,-0.3325
1,48,1_048,1,The Farm,Thomas Newman,30XPjUloKwMq0KaQhAB2cJ,0.25,-0.7925
2,37,2_037,1,Flowers,Danny Elfman,5ITTcBNXEXhuMwUPOMG691,-0.0525,-0.28
2,41,2_041,1,"Hirschfelder: Tell Me a Story, Katharine",David Hirschfelder,3vpUKfIGw17TTIONPoZ5mW,0.5675,-0.2875
1,350,1_350,1,Koolen,Eric Serra,2Lfc3g44CsdfSXzRAlOXAq,0.125,-0.7075
1,25,1_025,1,Sandra's Theme,Danny Elfman,3mgold6ewwxg2DqI4m2Tqv,-0.1,-0.1
2,1,2_001,1,Armour Piercing Bullets,Michael Kamen,,-0.61,0.6825
1,155,1_155,1,Kelly,Elmer Bernstein,,-0.5,-0.5
1,77,1_077,1,"Overture (From ""Diary Of Anne Frank"")",The City of Prague Philharmonic Orchestra,,0.375,-0.1675
1,248,1_248,0,Tremolo,Tuomas Kantelinen,,-0.35,0.3
1,15,1_015,1,End Titles,Danny Elfman,1OTwyRrhVYJ5KRtgfow3K6,0.2075,-0.2075
1,8,1_008,1,Vray Dieu d'Amours,Barrington Pheloung,,0.0,0.05
1,223,1_223,1,"Parliament of Dreams, Pt. 3",Christopher Franke,,-0.875,0.2075
2,74,2_074,1,Hirschfelder: Letters to Katharine,David Hirschfelder,54pM9uuRGBiECmyY0CT2MG,0.34,0.5325
2,18,2_018,1,A Bomb In The Hotel,Eric Serra,,-0.26,0.5425
1,244,1_244,1,"Schubert Impromptu In A flat, D899 No.4",Wojciech Kilar,,0.0825,0.375
1,287,1_287,0,Shemeikan talon pihapiiri,Leevi Madetoja,,0.15,-0.65
2,78,2_078,0,Farewell,Yo-Yo Ma,,0.075,0.2175
2,35,2_035,1,"Main Theme (From ""Anastasia"")",The City of Prague Philharmonic Orchestra,1akN5YGt45UByJUrQImyaN,-0.1875,0.145
2,21,2_021,1,Donny,Elmer Bernstein,,0.75,0.6925
1,271,1_271,1,"Your Hands Are Cold (From ""Pride & Prejudice"" Soundtrack)",Jean-Yves Thibaudet,0kQHXy2WNRPbyfSMdhVs2z,0.2,-0.95
1,282,1_282,1,The Eternal Vow,Yo-Yo Ma,0P6wItO0fOHgthplqmIdKi,0.05,-0.75
1,50,1_050,1,Stronger Love,Gary B,7aNIlxQUvfJ5ZWex6N2GW9,0.2,-0.7
2,31,2_031,1,Ask Your Saint Who He's Killed,Academy of St. Martin in the Fields,30OtZ2yLOYcaZghxtwtvAP,0.005,-0.4525
2,105,2_105,1,Marianelli: Meryton Townhall,Jean-Yves Thibaudet,4StixlbjYJ3E28d9P74J1W,0.7525,0.8175
1,228,1_228,0,Battle Zone,Martin Kiszko,,-0.7925,-0.4575
1,235,1_235,1,Altobello,Nino Rota,,-0.6675,-0.2075
1,285,1_285,0,"Kokko lenti koillisesta, iskulintu ilman alta...",Leevi Madetoja,,-0.1675,-0.6675
2,46,2_046,1,Photos / Beautiful Dreamer,Danny Elfman,0OtMg3uFH35nJ7NlZ4h5ce,0.2025,-0.49
2,61,2_061,0,"Kokko lenti koillisesta, iskulintu ilman alta... Marja! Marketta! Minne nyt?",Leevi Madetoja,,0.195,0.2425
2,55,2_055,1,The Buffalo Hunt,John Barry,5JCGRjEWB1YLAWbNCmPs4n,0.51,0.5675
1,13,1_013,1,My Baby Cares for Me,Nina Simone,30rb2uIf7shDf2ck9sQG37,0.2075,0.2075
1,94,1_094,1,False Alarm,Ennio Morricone,6gzOAAQmSwVyGidf9wLDmt,-1.0,0.05
1,202,1_202,0,Alkusoitto,Leevi Madetoja,,0.1,0.35
1,356,1_356,1,Roger's Boat,Michael Kamen,,-0.05,-0.65
1,201,1_201,1,Ride to Fort Hays,John Barry,04izlTTLR32hTnmYwxleMB,0.125,-0.5
1,217,1_217,1,Armour Piercing Bullets,Michael Kamen,,-0.9175,0.375
1,341,1_341,1,The Diva Dance (Fifth Element 1997),Eric Serra,,-0.0425,-0.9575
2,19,2_019,1,Roger's Boat,Michael Kamen,,-0.105,-0.0425
1,311,1_311,1,The Escape from Fagin,Rachel Portman,282LH9yYNEhwwoLp52Ofpa,-0.55,0.05
1,46,1_046,1,Am I Not Merciful?,Gavin Greenaway,2dhGEqyRQaXVkmzcYicu7N,-0.2,-0.35
1,97,1_097,1,Abduction,Trevor Jones,,-0.55,0.25
1,2,1_002,1,Last Ride,Elmer Bernstein,,-0.0425,0.2925
1,351,1_351,1,"Crouching Tiger, Hidden Dragon",Tan Dun,5zO6zyBZd6zqdFBBDZKIds,-0.1675,-0.7925
1,56,1_056,1,Some Things Are Worth Dying For,Trevor Jones,,-0.4175,-0.5425
1,64,1_064,1,Viola's Audition (Instrumental),Nick Ingman,6a2Frn8yp91Rbw8phY9Uz1,0.4,-0.65
2,12,2_012,1,The Conspirators,John Williams,,-0.35,0.605
1,71,1_071,1,In the Tub,Danny Elfman,3YaMCslnNjQ4VPXseCWUxa,0.25,-0.85
1,289,1_289,1,Robbie's Bedside,James Newton Howard,4OArIdUVMN8qKHQbU2xPVM,0.45,-0.65
2,33,2_033,1,"Schubert String Quartet In D minor, D810",Wojciech Kilar,,-0.155,-0.63
2,57,2_057,1,Curtain Call (Instrumental),Nick Ingman,1DpoBHHIkBkNxKKlrWPynm,0.3925,0.6375
1,66,1_066,1,Dawn To Dusk; The Riderless Horse,James Horner,4SIq8XHZ6J5SKzeh7XcrHU,0.2075,-0.5825
2,81,2_081,0,"Kokko lenti koillisesta, iskulintu ilman alta...",Leevi Madetoja,,0.15,-0.4825
1,214,1_214,1,Bear Fight,Richard Thompson,,-0.95,0.3
1,308,1_308,1,The Motorcade,John Williams,6D1yCrOuRK85jtR45t7ES0,-0.7,0.35
2,100,2_100,1,Sam's Story,Elmer Bernstein,,-0.445,0.0225
1,149,1_149,1,Nixon's Walk (Instrumental),The London Metropolitan Orchestra,1CiCmFf59vSs40kHfN7NGN,0.125,-0.7075
2,94,2_094,1,The Rat Slice Quartet,Christopher Young,,-0.485,0.2525
1,275,1_275,1,Garrison Family Theme,John Williams,6nAhPJWikS62XwpN18IPWp,0.125,-0.875
1,331,1_331,1,Marianelli: The Secret Life Of Daydreams,Jean-Yves Thibaudet,550L06vJ98JRC0evMhoM42,0.4175,-0.6675
1,81,1_081,1,Road To Perdition,Thomas Newman,1ybtJbR4ARqmjl6dD2VtYU,0.375,-0.5825
1,74,1_074,1,Ness And His Family,Ennio Morricone,6aEb1P4mE9YQIfhhqzSPjo,0.375,-0.5
1,61,1_061,1,The Journey Home,Danny Elfman,2f83uQ1xery4UaW7EQ3Ywk,0.2,-0.55
1,222,1_222,1,Mondoshawan,Eric Serra,1gLy1WUyEpNm11rcD8qeBe,-0.875,-0.375
1,179,1_179,1,Headscarf (Instrumental),The London Metropolitan Orchestra,5LuNFMRHH2cHaULwHU9TWO,-0.25,-0.7
1,49,1_049,1,"MacDaddy / T, I'm Coming Home",Mark Isham,2wHrIPuuLAGpVucN0qgLMV,0.0425,-0.75
1,358,1_358,1,Looking For Johnny,Trevor Jones,,-0.2,-0.7
1,256,1_256,1,"Schubert String Quartet In D minor, D810",Wojciech Kilar,,0.15,0.2
1,158,1_158,1,Interzone Suite,Howard Shore,,-0.85,0.25
2,107,2_107,1,The Immigrant/Love Theme from the Godfather Part III,Nino Rota,,0.5225,-0.1975
2,85,2_085,1,Fagin's Loot,Rachel Portman,0cUCvmBpVT2YwFogjGiOkF,-0.115,-0.1675
1,254,1_254,1,On the Wisla,Zbigniew Preisner,1ByCcuE1S9KumNPpXAvQlS,0.0,0.25
1,339,1_339,1,The Love Theme,John Barry,6W8VPo0hGBHAdqd6rIX7bX,0.25,-0.65
1,100,1_100,1,Psycho,Bernard Herrmann,,-0.625,0.125
1,332,1_332,1,Theme from JFK,John Williams,,0.4175,-0.5825
1,324,1_324,1,The Storm,Wojciech Kilar,62kuUzVR18UXu2yHG3lgwk,-0.6675,-0.0825
1,190,1_190,1,Marianelli: Liz On Top Of The World,Jean-Yves Thibaudet,0VCpm5493uvozOlQqEiVcW,0.2925,-0.375
1,24,1_024,1,The Letters,James Horner,6b0uhsKlpbyGq3248y4nnN,0.2075,-0.6675
2,92,2_092,1,Mangalores,Eric Serra,7AkUWrT2fogZHxGx8jC2vh,-0.5025,0.4975
1,78,1_078,1,"Live In Hope (From ""Diary Of Anne Frank"")",The City of Prague Philharmonic Orchestra,,0.25,-0.5
1,132,1_132,1,The Murder,Bernard Herrmann,0wmlehjm28xRdFdHC9D5DZ,-0.6675,-0.25
1,72,1_072,1,Kelly,Elmer Bernstein,,0.2075,-0.375
1,59,1_059,1,"Rock Island, 1931",Thomas Newman,0ahHYr4FL6eJz8ttz1T8PB,0.05,-0.6
1,126,1_126,1,Futile Escape,James Horner,7wBhOLmtMKK70UlBbiX857,-0.8,0.2
1,220,1_220,0,Radiowaves,Éric Serra,,-0.9,-0.2
1,171,1_171,1,Band Of Brothers Suite One (Instrumental),The London Metropolitan Orchestra,7EhtFc6RCy6LdrlKfuAB0Z,-0.1675,-0.75
2,52,2_052,1,The Party on the Wisla,Zbigniew Preisner,6gpFUAGIAtjrDMG5Ow95MD,0.455,-0.0075
1,102,1_102,1,Patricide,Gavin Greenaway,0D3KrKjeJZ3cCTvvuxxJL1,-0.5425,-0.0425
2,28,2_028,1,Tim & The Bears,Richard Thompson,,0.6925,-0.1825
2,76,2_076,0,Marja! Sovitaan pois,Leevi Madetoja,,0.4025,-0.0175
1,209,1_209,1,Farewell,Yo-Yo Ma,2gVPotK9h922oiwpZXLauX,-0.125,-0.3325
2,97,2_097,1,Laugh Riot,Simon Boswell,,-0.53,0.3775
1,312,1_312,1,Zimmer: For A Small Stipend,The Lyndhurst Orchestra,2w1U1sH227Qf2k2Ic4awd8,-0.8,0.2
1,314,1_314,1,"The Batman Theme (From ""Batman"")",Danny Elfman,50csT5Qb2qOF7lHdDQ1Sbx,-0.4175,0.3325
2,53,2_053,1,Now We Are Free,Hans Zimmer,6Xd98kdpMqBICuduagimTi,0.5175,0.44
1,176,1_176,1,End Credits,Mark Isham,7jMZu3oWq8f54f6OUNHsCY,-0.5825,-0.4175
1,140,1_140,1,Nobody Knows Nobody / Priceless / Drive To Brighton Beach,Mark Isham,0kpJiEBqICDWAN2aB1pACq,-0.4,0.1
1,278,1_278,1,Marianelli: Darcy's Letter,English Chamber Orchestra,4Gdu01pgiJUyfFU14K8ftG,-0.05,-0.8
2,36,2_036,0,Girl of My Dreams (Saxophone version),Trevor Jones,,0.0325,-0.62
1,146,1_146,1,A Rescue Is Planned,James Horner,2W90tQXQQfJXCGIVgAT0vk,-0.5825,-0.0425
1,241,1_241,1,Sicilian Medley: Va Pensiero / Mazurka (Alla Siciliana) / Danza Tarantella,Nino Rota,,-0.2,0.45
1,335,1_335,1,"Dawn - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli,7LRAg8a4Q5PrPHSGBfng22,0.45,-0.55
1,110,1_110,1,The Might Of Rome,Gavin Greenaway,5SeMnwUZvBneMZgwYHEUZz,-0.4575,0.3325
1,161,1_161,1,Spier's Speech (Instrumental),The London Metropolitan Orchestra,01TYlA7LbJfzj4bS6D7y0n,-0.2,-0.65
2,30,2_030,1,'Nostradamus' - Film Soundtrack - Love Theme,Sarah Eaton,,0.5,-0.39
2,60,2_060,1,Finding The Ship,James Newton Howard,4Z7uldxHW8AJYIqQmFjbYr,0.21,0.225
2,83,2_083,1,Underwater,Danny Elfman,3dvCFQxujKR4uEzx3NIx1I,0.35,-0.1275
1,38,1_038,1,Marion,Bernard Herrmann,,0.0425,-0.8325
1,281,1_281,1,Stands With a Fist Remembers,John Barry,3gDih22uhr1geFB4RNOo7C,-0.0825,-0.7925
1,107,1_107,1,"Main Title & Finale (From ""Dracula"")",The Philharmonia,3YIYXbvFKIL3GdqPiy22H9,-0.6675,-0.5425
2,44,2_044,1,Marianelli: The Secret Life Of Daydreams,Jean-Yves Thibaudet,550L06vJ98JRC0evMhoM42,0.595,-0.4475
1,52,1_052,1,Band Of Brothers Suite Two (Instrumental),The London Metropolitan Orchestra,3HsuGePtsXapInducQUZbB,0.15,-0.4
2,80,2_080,1,The Game,Rachel Portman,1RzwaMaO0VRdTVvKt5ShXO,0.22,0.445
2,68,2_068,1,Murder (In Four Parts),Thomas Newman,0wsqv174hjWO2YSoWkubIA,-0.6225,0.2575
1,323,1_323,1,Zimmer: Let My Home Be My Gallows,Anthony Hopkins,6inMG5yXaMXJBi75trsWi7,-0.5,-0.0825
2,22,2_022,1,Waltz To The Death,Danny Elfman,5ikIFBsZtIhqQCHFSlPUo2,0.64,0.8375
2,108,2_108,1,"Earth - From ""Gladiator"" Soundtrack",Hans Zimmer,3ATWPZ71m7zbSlmqXIrWxJ,0.2175,-0.5075
1,76,1_076,1,Jail,Elmer Bernstein,,0.35,-0.6
1,57,1_057,1,Reading Room,Thomas Newman,5J0Sp64oiLawZjFjt8PmAU,0.1,-0.8
1,300,1_300,1,Photos / Beautiful Dreamer,Danny Elfman,0OtMg3uFH35nJ7NlZ4h5ce,0.35,-0.2
1,70,1_070,1,Intersong,Howard Shore,,-0.0825,-0.5825
2,89,2_089,1,"Don Karol, Pt. 2",Zbigniew Preisner,0SDMCR1DyBU9JHt8JaNHEB,-0.1675,-0.4475
2,103,2_103,1,Badaboom,Eric Serra,62iNtrtuR1vvF6DKbj4Eon,0.2175,-0.115
1,152,1_152,1,Who Is Jackie Lemancyzk?,Elmer Bernstein,,-0.55,0.0
1,12,1_012,1,Hirschfelder: Moments of Genius,David Hirschfelder,1bYcOINFhg7jxT1s4i81ZL,0.05,0.45
1,33,1_033,1,Black Nights,Academy of St. Martin in the Fields,4YGM3ncLNEsomt5Q0433Wb,0.1675,-0.625
1,41,1_041,1,Jenny's Theme,Danny Elfman,4rmE8biW5PCAYbjI8UAIm3,-0.05,-0.6
1,35,1_035,1,The Passion,Barrington Pheloung,,0.125,-0.875
2,87,2_087,1,A Blind Eye,Thomas Newman,7p0ju9hO6OMi3HLklorf49,-0.1125,-0.3575
1,221,1_221,1,The Cenobites,Christopher Young,,-0.9,0.05
1,232,1_232,1,Selina Transforms (Pt. II),Batman Returns Soundtrack/Danny Elfman,4sNrQAZplEMYOtKfbReLTq,-0.75,0.125
1,207,1_207,0,Vieras! Vieras hoi!,Leevi Madetoja,,-0.1,0.05
1,55,1_055,1,Hirschfelder: As If There Was No Tomorrow,David Helfgott,0DB4b27M9p5TjzMVRoQXIR,0.15,-0.6
1,151,1_151,1,Shenanigans,Elmer Bernstein,,-0.2925,0.0425
2,34,2_034,1,Return to Spectre,Danny Elfman,6jCRw4EqWPYsBiDWNM69DT,-0.0375,-0.37
2,5,2_005,1,No Cash No Trash,Eric Serra,,-0.48,0.4575
1,99,1_099,1,"Suite (From ""Dracula, Prince of Darkness"")",The Philharmonia,03lamd4yNqzFWdoSnNHCX9,-0.5,-0.1
2,48,2_048,1,End Credits,Wojciech Kilar,4yaMIPhBkF1w6o9nnHiz0W,0.2125,-0.36
2,64,2_064,1,Plavalaguna,Eric Serra,21GEEHJ7ocnTzJ31lGMpWM,-0.4925,0.03
1,112,1_112,1,The Package,Bernard Herrmann,,-0.5,-0.5
1,298,1_298,1,Train Trip,Tuomas Kantelinen,,-0.375,-0.4175
1,205,1_205,1,Oliver Runs Away,Rachel Portman,70dR9LbeH5x3xZM9GkCVEN,-0.05,0.05
1,141,1_141,1,Frightened Sam,Elmer Bernstein,,-0.7075,0.0425
1,186,1_186,1,Schubert [Impromptu in G Flat],Wojciech Kilar,,0.35,-0.35
1,233,1_233,0,Kas! Se äskeinen mies!,Leevi Madetoja,,-0.7075,-0.2075
1,116,1_116,1,Zimmer: The Might of Rome,Gavin Greenaway(가빈 그리너웨이),2K9MfGAi7TNyWiHWGSsmxq,-0.35,-0.3
2,54,2_054,1,Marianelli: Liz On Top Of The World,Jean-Yves Thibaudet,0VCpm5493uvozOlQqEiVcW,0.415,-0.1975
2,91,2_091,1,Alien 3: Lento,Elliot Goldenthal,119ZXyJOGwKx6o8Z0noHtV,-0.3275,0.5225
1,255,1_255,1,Drummer's Salute,The Royal Scots Dragoon Guards,629wfl4JPdzYFhtILoMLxf,-0.4575,0.2075
2,77,2_077,1,Leo Getz To The Hockey Game,Michael Kamen,,0.3175,0.335
1,242,1_242,1,Foxes,Richard Thompson,,0.1675,0.4175
1,34,1_034,1,Headscarf (Instrumental),The London Metropolitan Orchestra,5LuNFMRHH2cHaULwHU9TWO,0.0425,-0.7075
1,318,1_318,1,Lakta Ligunai,Eric Serra,6cb1Y32CSv68dzhfpLhUfG,-0.5425,-0.2925
2,104,2_104,1,Yearning of the Sword,Yo-Yo Ma,5u3yYSvNJSpfKx7AGd5AjQ,0.2975,-0.3425
1,93,1_093,1,The World Is Breaking,Barrington Pheloung,,-0.6675,-0.4175
2,71,2_071,1,Victorious,Ennio Morricone,1EIcOlmHO15LgZFToY0PsZ,0.6125,0.66
2,6,2_006,1,The Encounter,Yo-Yo Ma,5ceUwvbTd7OgUKXX7qzOR4,-0.025,0.75
